feature,perm_f1_importance
duration_over_period,0.048332575314779545
prad_re,0.02131395029970491
duration_days,0.013507465611749824
duration_anomaly,0.011646289913153085
steff_K,0.009263679109356281
rp_over_rstar,0.009027982604572849
period_days,0.006573807203101967
smass_MSun,0.005842558497400963
srad_Rsun,0.003104056154951107
depth,0.003094612902908289
duration_expected_proxy,0.0024060897492769184
stellar_density_catalog,0.000344234079173833
a_over_rstar,0.000344234079173833
flag_ultrashort_period,0.0
teff_bin_G,0.0
teff_bin_K,0.0
teff_bin_M,0.0
flag_long_duty,0.0
flag_long_period,0.0
mission_onehot,0.0
log_prad,0.0
flag_implausible_prad,0.0
flag_giant_star,0.0
log_depth,0.0
log_duration,0.0
log_period,0.0
teff_bin_F/A,0.0
