feature,perm_f1_importance
prad_re,0.06035941008295589
period_days,0.054737768677986076
duration_over_period,0.05399171791096482
steff_K,0.045843997680383164
rp_over_rstar,0.03265503875968993
srad_Rsun,0.03121392450066627
duration_days,0.017012661844803746
depth,0.010003061037543781
smass_MSun,0.009950188551181193
stellar_density_catalog,0.002293001082156132
a_over_rstar,0.002287173831016176
teff_bin_G,0.001532567049808442
duration_anomaly,0.00152091254752853
duration_expected_proxy,0.000766283524904221
mission_onehot,0.0
log_period,0.0
log_duration,0.0
log_depth,0.0
flag_giant_star,0.0
flag_implausible_prad,0.0
log_prad,0.0
flag_ultrashort_period,0.0
flag_long_period,0.0
flag_long_duty,0.0
teff_bin_M,0.0
teff_bin_K,0.0
teff_bin_F/A,0.0
