period_days,duration_days,depth,prad_re,steff_K,srad_Rsun,smass_MSun,mission_onehot,log_period,log_duration,log_depth,duration_over_period,stellar_density_catalog,flag_giant_star,flag_implausible_prad,log_prad,rp_over_rstar,a_over_rstar,duration_expected_proxy,duration_anomaly,flag_ultrashort_period,flag_long_period,flag_long_duty,teff_bin_M,teff_bin_K,teff_bin_G,teff_bin_F/A,true,pred,p1_cand,p2_conf
0.708965461,3.946,87.2,1.13,6528.0,1.155,1.177,0,0.5358881938648626,1.5985791690992246,4.4796069630127455,5.565848621998495,0.7638889508606691,0,0,0.7561219797213337,0.0089675066048662,0.7268194031247823,0.3104903415327004,12.708889016102932,1,0,1,0,0,0,1,1,0,0.003970494490483563,0.0010581497614315493
0.933745798,6.447,613.8,3.45,6367.0,1.087,1.131,0,0.6594589499228167,2.0078112667285084,6.421297011664441,6.904441347278387,0.8805897672963526,0,0,1.4929040961781488,0.0290914117169126,0.9156792334034812,0.3245898599134736,19.86192710946507,1,0,1,0,0,0,1,1,0,0.04229519957044227,0.002688584544040245
2.17693,,,7.92,3176.0,0.170856,0.14116,1,1.1559153216798317,,,,28.29657548712041,0,0,2.188295946591918,0.4248838004499755,5.118791219240395,0.1353714530403244,,0,0,0,1,0,0,0,1,2,0.06128767935423215,0.3594552968154116
0.982090079,1.44892,5396.7,29.95,5472.0,0.742,0.75,0,0.6841518834118743,0.8956471110420257,8.593728215894227,1.4753417793748231,1.835897728335545,0,1,3.432372999130605,0.369971410659977,1.2098090059510214,0.2583951031409934,5.607360104844148,1,0,1,0,0,1,0,1,0,0.06484530409011598,0.003886189334459407
8.29482811,2.7437,559.5,2.76,5773.0,0.939,0.967,0,2.2294581282643833,1.3200744271997813,6.328829242512215,0.3307723358269403,1.1679632361021413,0,0,1.324418957401803,0.0269413116032002,4.315333490343227,0.6118473081325857,4.4842814199715795,0,0,1,0,0,1,0,1,2,0.07073307698688439,0.8068201619169362
4.74701479,2.464,3622.0,13333.5,6531.0,1.921,1.234,0,1.7486805530389102,1.2424239907001886,8.195057690895077,0.5190629458597188,0.1740736372092232,0,1,9.49810994060006,63.61976311976718,1.5770949902637146,0.9581038483681676,2.571743587558976,0,0,1,0,0,0,1,1,0,0.07095619789052404,0.005041525720510832
86.049055,29.28,429.9,2.06,5733.0,0.997,0.981,0,4.46647181032529,3.410487428569248,6.065876044621792,0.3402710193590038,0.9898812412230468,0,0,1.118414915964289,0.0189385754059743,19.424871090154387,1.410061532253572,20.765036535794263,0,0,1,0,0,1,0,1,0,0.07196984099521715,0.010211419245564157
9.9092109,2.552,942.0,2.35,5396.0,0.702,0.784,0,2.3896074690898517,1.2675108251299236,6.849066282633458,0.257538139839355,2.2662273207300885,0,0,1.208960345836975,0.0306835774873469,6.05982856412788,0.5205096546645408,4.90287754367817,0,0,1,0,0,1,0,1,2,0.07565527692243665,0.9288375350140056
1.73984941,3.114,48.5,0.72,6119.0,1.031,1.075,0,1.007902959035616,1.4143957912307654,3.901972669574645,1.789809044560331,0.9809165728438216,0,0,0.5423242908253617,0.0064010184162545,1.437313512103241,0.3853097307586745,8.081788934008022,0,0,1,0,0,0,1,1,0,0.07703043740712347,0.07162168497210222
4.539297295,1.9455,798.1,2.34,4914.0,0.724,0.783,0,1.7118676506562966,1.080278581979605,6.6834860943804175,0.4285904722637312,2.06321705488208,0,0,1.205970806988609,0.0296246027312288,3.4901211783754382,0.413997886457489,4.699288002069957,0,0,1,0,1,0,0,1,2,0.07703043740712347,0.9039412973941794
