bin,lo,hi,count,avg_p,emp_rate
0,0.0,0.1,669,0.04322857762617282,0.03288490284005979
1,0.1,0.2,370,0.1474737034376858,0.15405405405405406
2,0.2,0.30000000000000004,244,0.25018179742982793,0.2581967213114754
3,0.30000000000000004,0.4,291,0.34900110816577146,0.36769759450171824
4,0.4,0.5,192,0.4462288204691107,0.3854166666666667
5,0.5,0.6000000000000001,127,0.5445969498082113,0.6377952755905512
6,0.6000000000000001,0.7000000000000001,84,0.6469345662551018,0.6428571428571429
7,0.7000000000000001,0.8,28,0.7379193109626337,0.75
8,0.8,0.9,15,0.84731532747048,0.9333333333333333
9,0.9,1.0,12,0.9627509386589481,0.8333333333333334
