feature,perm_f1_importance
duration_over_period,0.022155033926262658
duration_days,0.010777796681483598
prad_re,0.006961379998823181
steff_K,0.006572620210317281
duration_anomaly,0.006564253538357323
period_days,0.005553148469092983
period_depth_ratio,0.0034734320448094767
stellar_density_catalog,0.003457821262379213
depth,0.0024132036966365124
smass_MSun,0.0013864818024263315
srad_Rsun,0.0010398613518197487
duration_over_period_sq,0.0
teff_bin_F/A,0.0
teff_bin_G,0.0
teff_bin_K,0.0
teff_bin_M,0.0
flag_ultrashort_period,0.0
log_ratio_dur_per,0.0
normalized_radius,0.0
flag_long_duty,0.0
flag_long_period,0.0
flag_implausible_prad,0.0
duration_expected_proxy,0.0
a_over_rstar,0.0
rp_over_rstar,0.0
log_prad,0.0
flag_giant_star,0.0
log_depth,0.0
log_duration,0.0
log_period,0.0
mission_onehot,0.0
logdepth_x_logperiod,0.0
