feature,perm_f1_importance
steff_K,0.07597242976304346
period_days,0.04053394427291364
period_depth_ratio,0.038316446637831694
prad_re,0.0357966121780597
duration_over_period,0.024959710544759962
srad_Rsun,0.013860824460634058
stellar_density_catalog,0.0071428571428571175
logdepth_x_logperiod,0.005755507795726955
rp_over_rstar,0.00435311520478685
duration_days,0.002888086642599319
normalized_radius,0.0021608705815131302
a_over_rstar,0.0007220216606498298
teff_bin_F/A,0.0
teff_bin_G,0.0
teff_bin_K,0.0
teff_bin_M,0.0
duration_anomaly,0.0
log_ratio_dur_per,0.0
flag_long_duty,0.0
flag_long_period,0.0
flag_ultrashort_period,0.0
log_duration,0.0
duration_expected_proxy,0.0
log_prad,0.0
flag_implausible_prad,0.0
flag_giant_star,0.0
log_depth,0.0
log_period,0.0
mission_onehot,0.0
smass_MSun,0.0
depth,0.0
duration_over_period_sq,0.0
